state,trump,clinton,electors
Alabama,63.10148547,36.89851453,9
Alaska,54.36451166,45.63548834,3
Arizona,51.32567275,48.67432725,11
Arkansas,62.28484667,37.71515333,6
California,36.82207393,63.17792607,55
Colorado,47.74310467,52.25689533,9
Connecticut,42.75007165,57.24992835,7
Delaware,42.96635617,57.03364383,3
District of Columbia,10.78537957,89.21462043,3
Florida,49.70116282,50.29883718,29
Georgia,52.22822992,47.77177008,16
Hawaii,36.88207963,63.11792037,4
Idaho,62.87444236,37.12555764,4
Illinois,42.16045759,57.83954241,20
Indiana,56.80398028,43.19601972,11
Iowa,52.01404584,47.98595416,6
Kansas,57.02301491,42.97698509,6
Kentucky,60.76010694,39.23989306,8
Louisiana,59.40087616,40.59912384,8
Maine,45.86230207,54.13769793,4
Maryland,34.88588664,65.11411336,10
Massachusetts,35.92286634,64.07713366,11
Michigan,47.6246066,52.3753934,16
Minnesota,46.46320752,53.53679248,10
Mississippi,57.80009607,42.19990393,6
Missouri,55.8752016,44.1247984,10
Montana,60.08704961,39.91295039,3
Nebraska,60.66788,39.33212,5
Nevada,49.61795286,50.38204714,6
New Hampshire,47.96061345,52.03938655,4
New Jersey,43.56597774,56.43402226,14
New Mexico,46.74318816,53.25681184,5
New York,39.2933621,60.7066379,29
North Carolina,49.60095953,50.39904047,15
North Dakota,65.08780712,34.91219288,3
Ohio,51.12182604,48.87817396,18
Oklahoma,65.12971877,34.87028123,7
Oregon,44.7675306,55.2324694,7
Pennsylvania,47.91620678,52.08379322,20
Rhode Island,42.06709482,57.93290518,4
South Carolina,53.9802575,46.0197425,9
South Dakota,59.4955933,40.5044067,3
Tennessee,56.72015179,43.27984821,11
Texas,54.83378604,45.16621396,38
Utah,57.79461238,42.20538762,6
Vermont,32.4275471,67.5724529,3
Virginia,46.8893055,53.1106945,13
Washington,42.20881928,57.79118072,12
West Virginia,66.1243874,33.8756126,5
Wisconsin,46.90537911,53.09462089,10
Wyoming,72.065597,27.934403,3
